0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:54 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:56 +0700] "GET /LinhWine/chi-tiet-san-pham/6 HTTP/1.1" 200 68365
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:56 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:56 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:56 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:56 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:57 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:57 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:57 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:03:57 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/10 HTTP/1.1" 200 61871
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:11 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:14 +0700] "GET /LinhWine/add-cart/10? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:04:14 +0700] "GET /LinhWine/chi-tiet-san-pham/10 HTTP/1.1" 200 61871
